course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
115859;ENGENHARIA AMBIENTAL;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115860;ARQUITETURA E URBANISMO;Bacharelado;Integral;12;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115861;CIÊNCIAS CONTÁBEIS;Bacharelado;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115862;ENGENHARIA DE ALIMENTOS;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115864;DIREITO;Bacharelado;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115866;CIÊNCIAS ECONÔMICAS;Bacharelado;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115868;JORNALISMO;Bacharelado;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115869;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115871;ADMINISTRAÇÃO;Bacharelado;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115872;PEDAGOGIA;Licenciatura;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
115873;MEDICINA;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116050;ENGENHARIA AGRONÔMICA;Bacharelado;Integral;50;CAMPUS DE ARARAS;Araras;SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR
116051;BIOTECNOLOGIA;Bacharelado;Integral;30;CAMPUS DE ARARAS;Araras;SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR
116052;CIÊNCIAS BIOLÓGICAS;Licenciatura;Noturno;40;CAMPUS DE ARARAS;Araras;SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR
116053;QUÍMICA;Licenciatura;Noturno;40;CAMPUS DE ARARAS;Araras;SP;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR
116054;ENFERMAGEM;Bacharelado;Integral;10;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116055;FILOSOFIA;Licenciatura;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116056;NUTRIÇÃO;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116057;TEATRO;Licenciatura;Noturno;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116058;ENGENHARIA CIVIL;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116059;ENGENHARIA ELÉTRICA;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE PALMAS;Palmas;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116062;AGRONOMIA;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE GURUPI;Gurupi;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116063;ENGENHARIA FLORESTAL;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE GURUPI;Gurupi;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
116064;ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA;Bacharelado;Integral;20;CAMPUS UNIVERSITÁRIO DE GURUPI;Gurupi;TO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT
