index,modality
0,Ampla concorrência
1,Candidato (s) Indígenas
2,Candidato (s) Quilombolas
3,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
4,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
5,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
6,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)"
7,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
8,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
9,NULL
10,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
11,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
12,com deficiência
13,"que tenham cursado todo o Ensino Médio, presencial e regular, em escolas privadas ou públicas da região do Estado do Acre."
14,com deficiência auditiva especificamente no curso de Letras-Libras
15,Candidatos que comprovarem ter cursado integralmente os ensinos fundamental e médio em escolas públicas do Distrito Federal.
16,Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
17,Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
18,Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
19,"A1 - Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
20,"A2 - Candidatos negros, indígenas e quilombolas com comprovação de carência socioeconômica"
21,A3 - Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
22,"CANDIDATOS COM DEFICIÊNCIA, OU FILHOS DE POLICIAIS CIVIS, MILITARES, BOMBEIROS MILITARES, INSPETORES DE SEGURANÇA E ADMINISTRAÇÃO PENITENCIÁRIA, MORTOS OU INCAPACITADOS EM RAZÃO DO SERVIÇO"
23,"Candidato (s) NEGROS, INDÍGENAS OU QUILOMBOLAS COM COMPROVAÇÃO DE CARÊNCIA SOCIOECONÔMICA"
24,"CANDIDATOS QUE TENHAM CURSADO, NA REDE PÚBLICA, OS ÚLTIMOS QUATRO ANOS DO ENSINO FUNDAMENTAL E TODO O ENSINO MÉDIO"
25,A2 - Candidatos negros ou indígenas com comprovação de carência socioeconômica
26,"Candidatos com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administraçã o penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de vulnerabilidade econômica"
27,"Candidatos negros, indígenas ou oriundos de comunidades quilombolas com comprovação de carência socioeconômica."
28,Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica.
29,Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas
30,"A3 -  o candidato tenha cursado integralmente todas as séries do 2º ciclo do Ensino Fundamental, ou seja, do 6º ao 9º ano, e todas as séries, do Ensino Médio em escolas públicas de todo o território nacional."
31,"negros, entendidos como candidatos que possuem fenótipo que os caracterizem, na sociedade, como pertencentes ao grupo racial negro"
32,que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
33,"com deficiência que concluíram o Ensino Médio, independente do percurso de formação."
34,"pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas."
35,que tenham cursado integralmente o Ensino Médio em escolas públicas.
36,"Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
37,Candidatos Negros ou Indígenas ou Quilombolas com comprovação de carência socioeconômica
38,Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
39,"Candidatos autodeclarados indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
40,"Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e  que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
41,"Candidatos autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
42,"Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
170,"Categoria II - Candidatos declarados quilombolas, de baixa renda e egressos de escola pública"
43,"Candidatos com deficiência autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
