course_id,course_name,modality,vacancies,min_average,bonus,scrape_date
115859,ENGENHARIA AMBIENTAL,0,8,636.09,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,1,1,0.0,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,2,1,554.9,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,3,3,623.28,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,4,3,600.33,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,5,1,0.0,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,6,1,510.97,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,7,1,626.15,0.0,2020-01-27T00:45:25
115859,ENGENHARIA AMBIENTAL,8,1,647.55,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,0,4,711.68,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,1,1,555.08,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,2,1,590.8,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,3,2,667.3,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,4,2,658.36,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,5,1,552.44,0.0,2020-01-27T00:45:25
115860,ARQUITETURA E URBANISMO,6,1,603.96,0.0,2020-01-27T00:45:25
115861,CIÊNCIAS CONTÁBEIS,0,8,646.61,0.0,2020-01-27T00:45:25
115861,CIÊNCIAS CONTÁBEIS,1,1,482.57,0.0,2020-01-27T00:45:25
115861,CIÊNCIAS CONTÁBEIS,2,1,641.93,0.0,2020-01-27T00:45:25
115861,CIÊNCIAS CONTÁBEIS,3,3,643.66,0.0,2020-01-27T00:45:25
115861,CIÊNCIAS CONTÁBEIS,4,3,592.08,0.0,2020-01-27T00:45:25
